1DEC3800|00010528|00000854|\snd\adx\mev\s000200_05_1vir.adx
1DED4000|00007BD6|0000085E|\snd\adx\mev\s000200_05_2vir.adx
1DEDC000|0000F652|00000872|\snd\adx\mev\s000200_05_3_1vir.adx
1DEEB800|0000660A|0000087C|\snd\adx\mev\s000200_05_3_2vir.adx
1DEF2000|000131F2|0000088D|\snd\adx\mev\s000200_05_3vir.adx
1DF05800|0000F166|0000089F|\snd\adx\mev\s000200_07vir.adx
1DF15000|00013ABC|000008B3|\snd\adx\mev\s000200_08_1vir.adx
1DF29000|0000B242|000008BD|\snd\adx\mev\s000200_08_2vir.adx
1DF34800|00008A88|000008D4|\snd\adx\mev\s000310_01shi.adx
1DF3D800|0000AA86|000008E8|\snd\adx\mev\s000310_02_1miy.adx
1DF48800|0000B8CC|000008F2|\snd\adx\mev\s000310_02_2miy.adx
1DF54800|0000EBA2|00000904|\snd\adx\mev\s000310_03shi.adx
1DF63800|0000D990|00000911|\snd\adx\mev\s000310_04doc.adx
1DF71800|0000C3E8|0000091E|\snd\adx\mev\s000310_05miy.adx
1DF7E000|00007FC6|0000092B|\snd\adx\mev\s000310_06shi.adx
1DF86000|00009136|00000938|\snd\adx\mev\s000310_07doc.adx
1DF8F800|00002DB8|0000094C|\snd\adx\mev\s000310_08_1can.adx
1DF92800|0000B914|00000956|\snd\adx\mev\s000310_08_2can.adx
1DF9E800|00006B3E|00000968|\snd\adx\mev\s000310_09miy.adx
1DFA5800|0000850C|00000985|\snd\adx\mev\s000400_01_1shi.adx
1DFAE000|0000AE76|0000098F|\snd\adx\mev\s000400_01_2shi.adx
1DFB9000|00007CE4|0000099E|\snd\adx\mev\s000400_02_1can.adx
1DFC1000|0000BBF6|000009A8|\snd\adx\mev\s000400_02_2can.adx
1DFCD000|00008302|000009B7|\snd\adx\mev\s000400_03_1miy.adx
1DFD5800|00012BE6|000009C1|\snd\adx\mev\s000400_03_2miy.adx
1DFE8800|00015B6E|000009D3|\snd\adx\mev\s000400_04shi.adx
1DFFE800|0001244E|000009E0|\snd\adx\mev\s000400_05miy.adx
1E011000|000100A8|000009F4|\snd\adx\mev\s000400_06_1can.adx
1E021800|00012D60|000009FE|\snd\adx\mev\s000400_06_2can.adx
1E034800|00008458|00000A0D|\snd\adx\mev\s000400_07_1shi.adx
1E03D000|0000C4C0|00000A17|\snd\adx\mev\s000400_07_2shi.adx
1E049800|000071EC|00000A29|\snd\adx\mev\s000400_08can.adx
1E051000|0000B8CC|00000A3F|\snd\adx\mev\s000400_09_1_1shi.adx
1E05D000|0000CA2A|00000A49|\snd\adx\mev\s000400_09_1_2shi.adx
1E06A000|0000F412|00000A5B|\snd\adx\mev\s000400_09_2shi.adx
1E079800|0001618C|00000A65|\snd\adx\mev\s000400_09_3shi.adx
1E090000|0000A3D8|00000A78|\snd\adx\mev\s000400_10miy.adx
1E09A800|0001C5E2|00000A8C|\snd\adx\mev\s000400_11_1shi.adx
1E0B7000|0000AD8C|00000A96|\snd\adx\mev\s000400_11_2shi.adx
1E0C2000|00014590|00000AA0|\snd\adx\mev\s000400_11_3shi.adx
1E0D6800|000096A0|00000AAF|\snd\adx\mev\s000400_12_1can.adx
1E0E0000|000113FE|00000AB9|\snd\adx\mev\s000400_12_2can.adx
1E0F1800|0000EE4E|00000ACB|\snd\adx\mev\s000400_13miy.adx
1E100800|0001174C|00000AE1|\snd\adx\mev\s000400_14_1_1shi.adx
1E112000|0000D68A|00000AEB|\snd\adx\mev\s000400_14_1_2shi.adx
1E11F800|0000E854|00000AFD|\snd\adx\mev\s000400_14_2shi.adx
1E12E800|00011F86|00000B09|\snd\adx\mev\s000400_15_1shi.adx
1E140800|0000A780|00000B13|\snd\adx\mev\s000400_15_2shi.adx
1E14B000|000102A0|00000B25|\snd\adx\mev\s000400_16miy.adx
1E15B800|000133EA|00000B32|\snd\adx\mev\s000400_17shi.adx
1E16F000|000157A2|00000B46|\snd\adx\mev\s000400_18_1miy.adx
1E184800|0000BDEE|00000B50|\snd\adx\mev\s000400_18_2miy.adx
1E190800|0000E6EC|00000B5A|\snd\adx\mev\s000400_18_3miy.adx
1E19F000|0000DC96|00000B6C|\snd\adx\mev\s000400_19shi.adx
1E1AD000|00005722|00000B81|\snd\adx\mev\s000400_20_1can.adx
1E1B2800|0000B1B2|00000B8B|\snd\adx\mev\s000400_20_2can.adx
1E1BE000|0000DD4A|00000B95|\snd\adx\mev\s000400_20_3can.adx
1E1CC000|0000F046|00000B9F|\snd\adx\mev\s000400_20_4can.adx
1E1DB800|000078BE|00000BA9|\snd\adx\mev\s000400_20_5can.adx
1E1E3800|0001232E|00000BBB|\snd\adx\mev\s000400_21shi.adx
1E1F6000|0000A59A|00000BC8|\snd\adx\mev\s000400_22miy.adx
1E200800|0000674E|00000BD5|\snd\adx\mev\s000400_23shi.adx
1E207000|00006838|00000BE2|\snd\adx\mev\s000400_24can.adx
1E20E000|0000D3BA|00000BEF|\snd\adx\mev\s000400_25shi.adx
1E21B800|000069A0|00000BFC|\snd\adx\mev\s000400_26miy.adx
