000A5800|00001A30|0000080B|\mg1\com\ModelExt\cursor.txy
000A7800|00000AF0|0000081B|\mg1\com\ModelExt\cursor01.pxy
000A8800|00001A30|00000825|\mg1\com\ModelExt\cursor01.txy
000AA800|00000AF0|00000831|\mg1\com\ModelExt\cursor02.pxy
000AB800|00001A30|0000083B|\mg1\com\ModelExt\cursor02.txy
000AD800|00001130|0000084E|\mg1\com\ModelExt\sym01.pxy
000AF000|00000490|00000858|\mg1\com\ModelExt\sym01.txy
000AF800|00001090|00000864|\mg1\com\ModelExt\sym02.pxy
000B1000|00000890|0000086E|\mg1\com\ModelExt\sym02.txy
000B2000|00001130|0000087A|\mg1\com\ModelExt\sym03.pxy
000B3800|00000490|00000884|\mg1\com\ModelExt\sym03.txy
000B4000|00001130|00000890|\mg1\com\ModelExt\sym04.pxy
000B5800|00000490|0000089A|\mg1\com\ModelExt\sym04.txy
000B6000|00001130|000008A6|\mg1\com\ModelExt\sym05.pxy
000B7800|00000490|000008B0|\mg1\com\ModelExt\sym05.txy
000B8000|00000B80|000008C6|\mg1\com\ModelExt\yajirusi.pxy
000B9000|00000530|000008D0|\mg1\com\ModelExt\yajirusi.txy
000B9800|00006290|000008E2|\mg1\com\ModelExt\bgTt.pxy
000C0000|00002290|000008EC|\mg1\com\ModelExt\bgTt.txy
000C2800|00009FB0|000008F9|\mg1\com\ModelExt\bg01.pxy
000CC800|00006030|00000903|\mg1\com\ModelExt\bg01.txy
000D3000|00010160|0000090F|\mg1\com\ModelExt\bg02.pxy
000E3800|000125F0|00000919|\mg1\com\ModelExt\bg02.txy
000F6000|000166D0|00000925|\mg1\com\ModelExt\bg03.pxy
0010C800|00006430|0000092F|\mg1\com\ModelExt\bg03.txy
00113000|0001BA00|0000093B|\mg1\com\ModelExt\bg04.pxy
0012F000|0000B5D0|00000945|\mg1\com\ModelExt\bg04.txy
0013A800|0000BC30|00000951|\mg1\com\ModelExt\bg05.pxy
00146800|00008490|0000095B|\mg1\com\ModelExt\bg05.txy
0014F000|0000AE80|00000967|\mg1\com\ModelExt\bg06.pxy
0015A000|00005BB0|00000971|\mg1\com\ModelExt\bg06.txy
00160000|00000E10|00000980|\mg1\com\ModelExt\look.pxy
00161000|000202F0|0000098A|\mg1\com\ModelExt\look.txy
00181800|00000AF0|0000099E|\mg1\com\ModelExt\square.pxy
00182800|00000C30|000009A8|\mg1\com\ModelExt\square.txy
00183800|00000BA0|000009BE|\mg1\com\ModelExt\triangle.pxy
00184800|00001A90|000009C8|\mg1\com\ModelExt\triangle.txy
00186800|00005880|000009E6|\mg1\com\Motion\MGalbelt.sme
0018C800|00006040|000009F9|\mg1\com\Motion\MGallen00.sme
00193000|00004B00|00000A06|\mg1\com\Motion\MGcanan00.sme
00198000|00005840|00000A13|\mg1\com\Motion\MGchaos00.sme
0019E000|000058C0|00000A23|\mg1\com\Motion\MGgaignun.sme
001A4000|00006600|00000A37|\mg1\com\Motion\MGhakase.sme
001AA800|00005A40|00000A44|\mg1\com\Motion\MGhammer.sme
001B0800|00006640|00000A57|\mg1\com\Motion\MGjin00.sme
001B7000|00005D00|00000A68|\mg1\com\Motion\MGjr00.sme
001BD000|00005280|00000A7E|\mg1\com\Motion\MGkosmos00.sme
001C2800|00006600|00000A90|\mg1\com\Motion\MGmary.sme
001C9000|00006980|00000AA3|\mg1\com\Motion\MGmathews.sme
